model_key,patch_label,group,component,layer,norm_depth,recovery,ci_low,ci_high
qwen25_15b_base,hook_resid_pre_L19_definition_target,definition_target,hook_resid_pre,19,0.6785714285714286,-0.9856940435369994,-1.372613672302631,-0.6995165247673137
qwen25_15b_base,hook_resid_pre_L20_definition_target,definition_target,hook_resid_pre,20,0.7142857142857143,-0.8373593216064488,-1.1605702627231387,-0.6045986014579406
qwen25_15b_base,hook_resid_pre_L21_definition_target,definition_target,hook_resid_pre,21,0.75,-0.32650699691666274,-0.4477600172251376,-0.23132036445868148
qwen25_15b_base,hook_resid_pre_L22_definition_target,definition_target,hook_resid_pre,22,0.7857142857142857,-0.22305881220552568,-0.31860924283440073,-0.14512296263783755
qwen25_15b_base,hook_resid_pre_L23_definition_target,definition_target,hook_resid_pre,23,0.8214285714285714,-0.19261804051270326,-0.2700609315608103,-0.12771987449456174
qwen25_15b_base,hook_resid_pre_L24_definition_target,definition_target,hook_resid_pre,24,0.8571428571428571,-0.07755004790992953,-0.12953492142802336,-0.033229620206797685
qwen25_15b_base,hook_resid_pre_L25_definition_target,definition_target,hook_resid_pre,25,0.8928571428571429,-0.09018203044576853,-0.1432951320764128,-0.04667930491607334
qwen25_15b_base,hook_resid_pre_L26_definition_target,definition_target,hook_resid_pre,26,0.9285714285714286,-0.056816814006228206,-0.0944625077439978,-0.02625884043205703
qwen25_15b_base,hook_resid_pre_L27_definition_target,definition_target,hook_resid_pre,27,0.9642857142857143,-0.0010731599102916287,-0.015229735423839047,0.011150213770692669
qwen25_15b_base,hook_resid_mid_L0_definition_target,definition_target,hook_resid_mid,0,0.0,0.027291077115425565,0.009647093009769018,0.051196693066815235
qwen25_15b_base,hook_resid_mid_L1_definition_target,definition_target,hook_resid_mid,1,0.03571428571428571,0.016157394785834788,-0.004403172093165497,0.043468362863708414
qwen25_15b_base,hook_resid_mid_L2_definition_target,definition_target,hook_resid_mid,2,0.07142857142857142,0.0251472812935507,-0.03211902473355168,0.07784192192919746
qwen25_15b_base,hook_resid_mid_L3_definition_target,definition_target,hook_resid_mid,3,0.10714285714285714,0.004968627889837826,-0.058484701537083066,0.0592676437078788
qwen25_15b_base,hook_resid_mid_L4_definition_target,definition_target,hook_resid_mid,4,0.14285714285714285,0.054948338692112304,-0.0009444748511052175,0.10813824090626711
qwen25_15b_base,hook_resid_mid_L5_definition_target,definition_target,hook_resid_mid,5,0.17857142857142858,-0.21478420646691446,-0.412906411006438,-0.07024230943525597
qwen25_15b_base,hook_resid_mid_L6_definition_target,definition_target,hook_resid_mid,6,0.21428571428571427,-0.169181859802991,-0.35428422136333104,-0.027702966406621062
qwen25_15b_base,hook_resid_mid_L7_definition_target,definition_target,hook_resid_mid,7,0.25,-0.2750052637310902,-0.495689616834682,-0.10375308521679835
qwen25_15b_base,hook_resid_mid_L8_definition_target,definition_target,hook_resid_mid,8,0.2857142857142857,-0.33256913019286727,-0.5736360933579971,-0.14715313857186876
qwen25_15b_base,hook_resid_mid_L9_definition_target,definition_target,hook_resid_mid,9,0.32142857142857145,-0.545607224120887,-0.8602592782353223,-0.29388282031438306
qwen25_15b_base,hook_resid_mid_L10_definition_target,definition_target,hook_resid_mid,10,0.35714285714285715,-0.6000645597939899,-0.9277227898192979,-0.34307164489542424
qwen25_15b_base,hook_resid_mid_L11_definition_target,definition_target,hook_resid_mid,11,0.39285714285714285,-0.8019120961512533,-1.2089154326441895,-0.4939611718522549
qwen25_15b_base,hook_resid_mid_L12_definition_target,definition_target,hook_resid_mid,12,0.42857142857142855,-1.4407865298418336,-2.1145647953900566,-0.9489056005809144
qwen25_15b_base,hook_resid_mid_L13_definition_target,definition_target,hook_resid_mid,13,0.4642857142857143,-1.9321704338995946,-2.8004016495060102,-1.324969349656067
qwen25_15b_base,hook_resid_mid_L14_definition_target,definition_target,hook_resid_mid,14,0.5,-1.8879930209389229,-2.742870770739886,-1.3003518160116332
qwen25_15b_base,hook_resid_mid_L15_definition_target,definition_target,hook_resid_mid,15,0.5357142857142857,-1.6680856087153266,-2.3646132035353165,-1.1632706469253844
qwen25_15b_base,hook_resid_mid_L16_definition_target,definition_target,hook_resid_mid,16,0.5714285714285714,-0.7826704431599413,-1.1348361050095963,-0.5218721667816626
qwen25_15b_base,hook_resid_mid_L17_definition_target,definition_target,hook_resid_mid,17,0.6071428571428571,-0.7114377934766708,-1.0266851162901167,-0.47183824258344775
qwen25_15b_base,hook_resid_mid_L18_definition_target,definition_target,hook_resid_mid,18,0.6428571428571429,-0.9856940435369994,-1.372613672302631,-0.6995165247673137
qwen25_15b_base,hook_resid_mid_L19_definition_target,definition_target,hook_resid_mid,19,0.6785714285714286,-0.8373593216064488,-1.1605702627231387,-0.6045986014579406
qwen25_15b_base,hook_resid_mid_L20_definition_target,definition_target,hook_resid_mid,20,0.7142857142857143,-0.32650699691666274,-0.4477600172251376,-0.23132036445868148
qwen25_15b_base,hook_resid_mid_L21_definition_target,definition_target,hook_resid_mid,21,0.75,-0.22305881220552568,-0.31860924283440073,-0.14512296263783755
qwen25_15b_base,hook_resid_mid_L22_definition_target,definition_target,hook_resid_mid,22,0.7857142857142857,-0.19261804051270326,-0.2700609315608103,-0.12771987449456174
